schid,schname,keyword,keynum,monthorweek,index
1,the university of texas medical branch,utmb.edu,2,2013-03-31 - 2013-04-06,57
1,the university of texas medical branch,utmb.edu,2,2013-04-07 - 2013-04-13,42
1,the university of texas medical branch,utmb.edu,2,2013-04-14 - 2013-04-20,74
1,the university of texas medical branch,utmb.edu,2,2013-04-21 - 2013-04-27,84
1,the university of texas medical branch,utmb.edu,2,2013-04-28 - 2013-05-04,99
1,the university of texas medical branch,utmb.edu,2,2013-05-05 - 2013-05-11,54
1,the university of texas medical branch,utmb.edu,2,2013-05-12 - 2013-05-18,52
1,the university of texas medical branch,utmb.edu,2,2013-05-19 - 2013-05-25,62
1,the university of texas medical branch,utmb.edu,2,2013-05-26 - 2013-06-01,80
1,the university of texas medical branch,utmb.edu,2,2013-06-02 - 2013-06-08,39
1,the university of texas medical branch,utmb.edu,2,2013-06-09 - 2013-06-15,55
1,the university of texas medical branch,utmb.edu,2,2013-06-16 - 2013-06-22,50
1,the university of texas medical branch,utmb.edu,2,2013-06-23 - 2013-06-29,61
1,the university of texas medical branch,utmb.edu,2,2013-06-30 - 2013-07-06,68
1,the university of texas medical branch,utmb.edu,2,2013-07-07 - 2013-07-13,58
1,the university of texas medical branch,utmb.edu,2,2013-07-14 - 2013-07-20,85
1,the university of texas medical branch,utmb.edu,2,2013-07-21 - 2013-07-27,52
1,the university of texas medical branch,utmb.edu,2,2013-07-28 - 2013-08-03,72
1,the university of texas medical branch,utmb.edu,2,2013-08-04 - 2013-08-10,55
1,the university of texas medical branch,utmb.edu,2,2013-08-11 - 2013-08-17,58
1,the university of texas medical branch,utmb.edu,2,2013-08-18 - 2013-08-24,76
1,the university of texas medical branch,utmb.edu,2,2013-08-25 - 2013-08-31,59
1,the university of texas medical branch,utmb.edu,2,2013-09-01 - 2013-09-07,81
1,the university of texas medical branch,utmb.edu,2,2013-09-08 - 2013-09-14,52
1,the university of texas medical branch,utmb.edu,2,2013-09-15 - 2013-09-21,78
1,the university of texas medical branch,utmb.edu,2,2013-09-22 - 2013-09-28,77
1,the university of texas medical branch,utmb.edu,2,2013-09-29 - 2013-10-05,79
1,the university of texas medical branch,utmb.edu,2,2013-10-06 - 2013-10-12,79
1,the university of texas medical branch,utmb.edu,2,2013-10-13 - 2013-10-19,72
1,the university of texas medical branch,utmb.edu,2,2013-10-20 - 2013-10-26,50
1,the university of texas medical branch,utmb.edu,2,2013-10-27 - 2013-11-02,81
1,the university of texas medical branch,utmb.edu,2,2013-11-03 - 2013-11-09,95
1,the university of texas medical branch,utmb.edu,2,2013-11-10 - 2013-11-16,62
1,the university of texas medical branch,utmb.edu,2,2013-11-17 - 2013-11-23,51
1,the university of texas medical branch,utmb.edu,2,2013-11-24 - 2013-11-30,54
1,the university of texas medical branch,utmb.edu,2,2013-12-01 - 2013-12-07,52
1,the university of texas medical branch,utmb.edu,2,2013-12-08 - 2013-12-14,61
1,the university of texas medical branch,utmb.edu,2,2013-12-15 - 2013-12-21,37
1,the university of texas medical branch,utmb.edu,2,2013-12-22 - 2013-12-28,30
1,the university of texas medical branch,utmb.edu,2,2013-12-29 - 2014-01-04,44
1,the university of texas medical branch,utmb.edu,2,2014-01-05 - 2014-01-11,58
1,the university of texas medical branch,utmb.edu,2,2014-01-12 - 2014-01-18,58
1,the university of texas medical branch,utmb.edu,2,2014-01-19 - 2014-01-25,60
1,the university of texas medical branch,utmb.edu,2,2014-01-26 - 2014-02-01,54
1,the university of texas medical branch,utmb.edu,2,2014-02-02 - 2014-02-08,34
1,the university of texas medical branch,utmb.edu,2,2014-02-09 - 2014-02-15,49
1,the university of texas medical branch,utmb.edu,2,2014-02-16 - 2014-02-22,27
1,the university of texas medical branch,utmb.edu,2,2014-02-23 - 2014-03-01,41
1,the university of texas medical branch,utmb.edu,2,2014-03-02 - 2014-03-08,100
1,the university of texas medical branch,utmb.edu,2,2014-03-09 - 2014-03-15,43
1,the university of texas medical branch,utmb.edu,2,2014-03-16 - 2014-03-22,28
1,the university of texas medical branch,utmb.edu,2,2014-03-23 - 2014-03-29,67
1,the university of texas medical branch,utmb.edu,2,2014-03-30 - 2014-04-05,32
1,the university of texas medical branch,utmb.edu,2,2014-04-06 - 2014-04-12,35
1,the university of texas medical branch,utmb.edu,2,2014-04-13 - 2014-04-19,35
1,the university of texas medical branch,utmb.edu,2,2014-04-20 - 2014-04-26,49
